Translate,Translate
Langshop,Langshop
"Translation started. Please wait.","Translation started. Please wait."
"A technical problem with the server created an error.","A technical problem with the server created an error."
"Data processor must implement %1","Data processor must implement %1"
"Sorting ""%1"" is not correct.","Sorting ""%1"" is not correct."
"Field collector must implement %1","Field collector must implement %1"
"No such entity with type = %1","No such entity with type = %1"
"Schema processor must implement %1","Schema processor must implement %1"
"This method is not implemented yet.","This method is not implemented yet."
Default,Default
Website,Website
"Store View","Store View"
"Resource with type = ""%1"" does not exist.","Resource with type = ""%1"" does not exist."
"Resource with identifier = ""%1"" does not exist.","Resource with identifier = ""%1"" does not exist."
"Attribute with code = ""%1"" does not exist.","Attribute with code = ""%1"" does not exist."
"Locale with code = ""%1"" does not exist.","Locale with code = ""%1"" does not exist."
"Option with identifier = ""%1"" does not exist.","Option with identifier = ""%1"" does not exist."
"Attribute with code = ""%1"" is not available for translate.","Attribute with code = ""%1"" is not available for translate."
Locales,Locales
Schema,Schema
Resources,Resources
"Aheadworks Extensions","Aheadworks Extensions"
"General Settings","General Settings"
"Store views to translate","Store views to translate"
"Langshop Application domain","Langshop Application domain"
"Integration details","Integration details"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
